hour,session_count,total_kwh,hour_of_day,day_of_week,month,is_weekend
2019-01-05 08:00:00+00:00,1,3.146,8,5,1,1
2019-01-05 09:00:00+00:00,0,0.0,9,5,1,1
2019-01-05 10:00:00+00:00,0,0.0,10,5,1,1
2019-01-05 11:00:00+00:00,0,0.0,11,5,1,1
2019-01-05 12:00:00+00:00,0,0.0,12,5,1,1
2019-01-05 13:00:00+00:00,0,0.0,13,5,1,1
2019-01-05 14:00:00+00:00,0,0.0,14,5,1,1
2019-01-05 15:00:00+00:00,1,7.808,15,5,1,1
2019-01-05 16:00:00+00:00,1,5.121,16,5,1,1
2019-01-05 17:00:00+00:00,1,0.845,17,5,1,1
2019-01-05 18:00:00+00:00,4,15.244,18,5,1,1
2019-01-05 19:00:00+00:00,2,24.917,19,5,1,1
2019-01-05 20:00:00+00:00,2,9.523,20,5,1,1
2019-01-05 21:00:00+00:00,0,0.0,21,5,1,1
2019-01-05 22:00:00+00:00,0,0.0,22,5,1,1
2019-01-05 23:00:00+00:00,0,0.0,23,5,1,1
2019-01-06 00:00:00+00:00,1,2.485,0,6,1,1
2019-01-06 01:00:00+00:00,1,2.831,1,6,1,1
2019-01-06 02:00:00+00:00,2,22.07,2,6,1,1
2019-01-06 03:00:00+00:00,0,0.0,3,6,1,1
2019-01-06 04:00:00+00:00,0,0.0,4,6,1,1
2019-01-06 05:00:00+00:00,0,0.0,5,6,1,1
2019-01-06 06:00:00+00:00,0,0.0,6,6,1,1
2019-01-06 07:00:00+00:00,0,0.0,7,6,1,1
2019-01-06 08:00:00+00:00,0,0.0,8,6,1,1
2019-01-06 09:00:00+00:00,0,0.0,9,6,1,1
2019-01-06 10:00:00+00:00,0,0.0,10,6,1,1
2019-01-06 11:00:00+00:00,0,0.0,11,6,1,1
2019-01-06 12:00:00+00:00,0,0.0,12,6,1,1
2019-01-06 13:00:00+00:00,0,0.0,13,6,1,1
2019-01-06 14:00:00+00:00,0,0.0,14,6,1,1
2019-01-06 15:00:00+00:00,0,0.0,15,6,1,1
2019-01-06 16:00:00+00:00,1,2.902,16,6,1,1
2019-01-06 17:00:00+00:00,1,12.372,17,6,1,1
2019-01-06 18:00:00+00:00,1,3.985,18,6,1,1
2019-01-06 19:00:00+00:00,0,0.0,19,6,1,1
2019-01-06 20:00:00+00:00,5,38.511,20,6,1,1
2019-01-06 21:00:00+00:00,1,3.271,21,6,1,1
2019-01-06 22:00:00+00:00,1,3.753,22,6,1,1
2019-01-06 23:00:00+00:00,2,22.849,23,6,1,1
2019-01-07 00:00:00+00:00,1,56.728,0,0,1,0
2019-01-07 01:00:00+00:00,0,0.0,1,0,1,0
2019-01-07 02:00:00+00:00,0,0.0,2,0,1,0
2019-01-07 03:00:00+00:00,1,36.285,3,0,1,0
2019-01-07 04:00:00+00:00,0,0.0,4,0,1,0
2019-01-07 05:00:00+00:00,0,0.0,5,0,1,0
2019-01-07 06:00:00+00:00,0,0.0,6,0,1,0
2019-01-07 07:00:00+00:00,0,0.0,7,0,1,0
2019-01-07 08:00:00+00:00,0,0.0,8,0,1,0
2019-01-07 09:00:00+00:00,0,0.0,9,0,1,0
2019-01-07 10:00:00+00:00,0,0.0,10,0,1,0
2019-01-07 11:00:00+00:00,0,0.0,11,0,1,0
2019-01-07 12:00:00+00:00,0,0.0,12,0,1,0
2019-01-07 13:00:00+00:00,1,49.663,13,0,1,0
2019-01-07 14:00:00+00:00,1,4.86,14,0,1,0
2019-01-07 15:00:00+00:00,2,43.04,15,0,1,0
2019-01-07 16:00:00+00:00,13,271.049,16,0,1,0
2019-01-07 17:00:00+00:00,4,49.736999999999995,17,0,1,0
2019-01-07 18:00:00+00:00,4,38.086,18,0,1,0
2019-01-07 19:00:00+00:00,2,29.354,19,0,1,0
2019-01-07 20:00:00+00:00,1,6.53,20,0,1,0
2019-01-07 21:00:00+00:00,3,17.619999999999997,21,0,1,0
2019-01-07 22:00:00+00:00,1,5.742,22,0,1,0
2019-01-07 23:00:00+00:00,2,19.18,23,0,1,0
2019-01-08 00:00:00+00:00,1,3.845,0,1,1,0
2019-01-08 01:00:00+00:00,1,0.939,1,1,1,0
2019-01-08 02:00:00+00:00,2,19.72,2,1,1,0
2019-01-08 03:00:00+00:00,0,0.0,3,1,1,0
2019-01-08 04:00:00+00:00,0,0.0,4,1,1,0
2019-01-08 05:00:00+00:00,0,0.0,5,1,1,0
2019-01-08 06:00:00+00:00,0,0.0,6,1,1,0
2019-01-08 07:00:00+00:00,0,0.0,7,1,1,0
2019-01-08 08:00:00+00:00,0,0.0,8,1,1,0
2019-01-08 09:00:00+00:00,0,0.0,9,1,1,0
2019-01-08 10:00:00+00:00,0,0.0,10,1,1,0
2019-01-08 11:00:00+00:00,0,0.0,11,1,1,0
2019-01-08 12:00:00+00:00,0,0.0,12,1,1,0
2019-01-08 13:00:00+00:00,1,26.699,13,1,1,0
2019-01-08 14:00:00+00:00,0,0.0,14,1,1,0
2019-01-08 15:00:00+00:00,4,39.781,15,1,1,0
2019-01-08 16:00:00+00:00,10,99.614,16,1,1,0
2019-01-08 17:00:00+00:00,7,41.392,17,1,1,0
2019-01-08 18:00:00+00:00,4,68.83,18,1,1,0
2019-01-08 19:00:00+00:00,3,22.886,19,1,1,0
2019-01-08 20:00:00+00:00,3,8.776,20,1,1,0
2019-01-08 21:00:00+00:00,1,6.645,21,1,1,0
2019-01-08 22:00:00+00:00,0,0.0,22,1,1,0
2019-01-08 23:00:00+00:00,0,0.0,23,1,1,0
2019-01-09 00:00:00+00:00,3,30.252,0,2,1,0
2019-01-09 01:00:00+00:00,0,0.0,1,2,1,0
2019-01-09 02:00:00+00:00,1,15.726,2,2,1,0
2019-01-09 03:00:00+00:00,2,19.045,3,2,1,0
2019-01-09 04:00:00+00:00,1,7.605,4,2,1,0
2019-01-09 05:00:00+00:00,0,0.0,5,2,1,0
2019-01-09 06:00:00+00:00,0,0.0,6,2,1,0
2019-01-09 07:00:00+00:00,0,0.0,7,2,1,0
2019-01-09 08:00:00+00:00,0,0.0,8,2,1,0
2019-01-09 09:00:00+00:00,0,0.0,9,2,1,0
2019-01-09 10:00:00+00:00,0,0.0,10,2,1,0
2019-01-09 11:00:00+00:00,0,0.0,11,2,1,0
2019-01-09 12:00:00+00:00,0,0.0,12,2,1,0
2019-01-09 13:00:00+00:00,0,0.0,13,2,1,0
2019-01-09 14:00:00+00:00,1,3.02,14,2,1,0
2019-01-09 15:00:00+00:00,2,42.917,15,2,1,0
2019-01-09 16:00:00+00:00,8,42.972,16,2,1,0
2019-01-09 17:00:00+00:00,9,81.97,17,2,1,0
2019-01-09 18:00:00+00:00,3,33.157,18,2,1,0
2019-01-09 19:00:00+00:00,1,12.408,19,2,1,0
2019-01-09 20:00:00+00:00,3,25.486,20,2,1,0
2019-01-09 21:00:00+00:00,3,20.155,21,2,1,0
2019-01-09 22:00:00+00:00,0,0.0,22,2,1,0
2019-01-09 23:00:00+00:00,2,2.182,23,2,1,0
2019-01-10 00:00:00+00:00,1,4.464,0,3,1,0
2019-01-10 01:00:00+00:00,3,67.348,1,3,1,0
2019-01-10 02:00:00+00:00,1,3.883,2,3,1,0
2019-01-10 03:00:00+00:00,2,4.254,3,3,1,0
2019-01-10 04:00:00+00:00,0,0.0,4,3,1,0
2019-01-10 05:00:00+00:00,0,0.0,5,3,1,0
2019-01-10 06:00:00+00:00,0,0.0,6,3,1,0
2019-01-10 07:00:00+00:00,0,0.0,7,3,1,0
2019-01-10 08:00:00+00:00,0,0.0,8,3,1,0
2019-01-10 09:00:00+00:00,0,0.0,9,3,1,0
2019-01-10 10:00:00+00:00,0,0.0,10,3,1,0
2019-01-10 11:00:00+00:00,0,0.0,11,3,1,0
2019-01-10 12:00:00+00:00,0,0.0,12,3,1,0
2019-01-10 13:00:00+00:00,0,0.0,13,3,1,0
2019-01-10 14:00:00+00:00,0,0.0,14,3,1,0
2019-01-10 15:00:00+00:00,3,27.193,15,3,1,0
2019-01-10 16:00:00+00:00,5,19.082,16,3,1,0
2019-01-10 17:00:00+00:00,6,51.071,17,3,1,0
2019-01-10 18:00:00+00:00,5,22.842,18,3,1,0
2019-01-10 19:00:00+00:00,2,19.258,19,3,1,0
2019-01-10 20:00:00+00:00,3,30.841,20,3,1,0
2019-01-10 21:00:00+00:00,5,29.403,21,3,1,0
2019-01-10 22:00:00+00:00,1,8.754,22,3,1,0
2019-01-10 23:00:00+00:00,0,0.0,23,3,1,0
2019-01-11 00:00:00+00:00,0,0.0,0,4,1,0
2019-01-11 01:00:00+00:00,0,0.0,1,4,1,0
2019-01-11 02:00:00+00:00,2,31.796,2,4,1,0
2019-01-11 03:00:00+00:00,2,17.026,3,4,1,0
2019-01-11 04:00:00+00:00,3,31.954,4,4,1,0
2019-01-11 05:00:00+00:00,0,0.0,5,4,1,0
2019-01-11 06:00:00+00:00,0,0.0,6,4,1,0
2019-01-11 07:00:00+00:00,1,45.866,7,4,1,0
2019-01-11 08:00:00+00:00,0,0.0,8,4,1,0
2019-01-11 09:00:00+00:00,0,0.0,9,4,1,0
2019-01-11 10:00:00+00:00,0,0.0,10,4,1,0
2019-01-11 11:00:00+00:00,0,0.0,11,4,1,0
2019-01-11 12:00:00+00:00,0,0.0,12,4,1,0
2019-01-11 13:00:00+00:00,0,0.0,13,4,1,0
2019-01-11 14:00:00+00:00,1,4.026,14,4,1,0
2019-01-11 15:00:00+00:00,3,13.61,15,4,1,0
2019-01-11 16:00:00+00:00,5,93.245,16,4,1,0
2019-01-11 17:00:00+00:00,7,51.564,17,4,1,0
2019-01-11 18:00:00+00:00,5,39.366,18,4,1,0
2019-01-11 19:00:00+00:00,3,51.051,19,4,1,0
2019-01-11 20:00:00+00:00,4,15.541,20,4,1,0
2019-01-11 21:00:00+00:00,2,3.2779999999999996,21,4,1,0
2019-01-11 22:00:00+00:00,1,4.109,22,4,1,0
2019-01-11 23:00:00+00:00,2,3.339,23,4,1,0
2019-01-12 00:00:00+00:00,0,0.0,0,5,1,1
2019-01-12 01:00:00+00:00,1,5.751,1,5,1,1
2019-01-12 02:00:00+00:00,1,5.323,2,5,1,1
2019-01-12 03:00:00+00:00,1,4.882,3,5,1,1
2019-01-12 04:00:00+00:00,0,0.0,4,5,1,1
2019-01-12 05:00:00+00:00,0,0.0,5,5,1,1
2019-01-12 06:00:00+00:00,0,0.0,6,5,1,1
2019-01-12 07:00:00+00:00,0,0.0,7,5,1,1
2019-01-12 08:00:00+00:00,0,0.0,8,5,1,1
2019-01-12 09:00:00+00:00,0,0.0,9,5,1,1
2019-01-12 10:00:00+00:00,0,0.0,10,5,1,1
2019-01-12 11:00:00+00:00,0,0.0,11,5,1,1
2019-01-12 12:00:00+00:00,0,0.0,12,5,1,1
2019-01-12 13:00:00+00:00,0,0.0,13,5,1,1
2019-01-12 14:00:00+00:00,0,0.0,14,5,1,1
2019-01-12 15:00:00+00:00,1,15.728,15,5,1,1
2019-01-12 16:00:00+00:00,1,4.459,16,5,1,1
2019-01-12 17:00:00+00:00,2,33.917,17,5,1,1
2019-01-12 18:00:00+00:00,3,26.001,18,5,1,1
2019-01-12 19:00:00+00:00,2,7.364000000000001,19,5,1,1
2019-01-12 20:00:00+00:00,0,0.0,20,5,1,1
2019-01-12 21:00:00+00:00,2,10.063,21,5,1,1
2019-01-12 22:00:00+00:00,1,9.33,22,5,1,1
2019-01-12 23:00:00+00:00,0,0.0,23,5,1,1
2019-01-13 00:00:00+00:00,0,0.0,0,6,1,1
2019-01-13 01:00:00+00:00,0,0.0,1,6,1,1
2019-01-13 02:00:00+00:00,1,42.364,2,6,1,1
2019-01-13 03:00:00+00:00,0,0.0,3,6,1,1
2019-01-13 04:00:00+00:00,0,0.0,4,6,1,1
2019-01-13 05:00:00+00:00,0,0.0,5,6,1,1
2019-01-13 06:00:00+00:00,0,0.0,6,6,1,1
2019-01-13 07:00:00+00:00,0,0.0,7,6,1,1
2019-01-13 08:00:00+00:00,0,0.0,8,6,1,1
2019-01-13 09:00:00+00:00,0,0.0,9,6,1,1
2019-01-13 10:00:00+00:00,0,0.0,10,6,1,1
2019-01-13 11:00:00+00:00,0,0.0,11,6,1,1
2019-01-13 12:00:00+00:00,0,0.0,12,6,1,1
2019-01-13 13:00:00+00:00,0,0.0,13,6,1,1
2019-01-13 14:00:00+00:00,0,0.0,14,6,1,1
2019-01-13 15:00:00+00:00,0,0.0,15,6,1,1
2019-01-13 16:00:00+00:00,2,34.583999999999996,16,6,1,1
2019-01-13 17:00:00+00:00,2,14.42,17,6,1,1
2019-01-13 18:00:00+00:00,1,29.012,18,6,1,1
2019-01-13 19:00:00+00:00,0,0.0,19,6,1,1
2019-01-13 20:00:00+00:00,1,39.204,20,6,1,1
2019-01-13 21:00:00+00:00,0,0.0,21,6,1,1
2019-01-13 22:00:00+00:00,3,18.961,22,6,1,1
2019-01-13 23:00:00+00:00,3,55.161,23,6,1,1
2019-01-14 00:00:00+00:00,2,28.226,0,0,1,0
2019-01-14 01:00:00+00:00,0,0.0,1,0,1,0
2019-01-14 02:00:00+00:00,2,32.198,2,0,1,0
2019-01-14 03:00:00+00:00,1,13.673,3,0,1,0
2019-01-14 04:00:00+00:00,0,0.0,4,0,1,0
2019-01-14 05:00:00+00:00,0,0.0,5,0,1,0
2019-01-14 06:00:00+00:00,0,0.0,6,0,1,0
2019-01-14 07:00:00+00:00,0,0.0,7,0,1,0
2019-01-14 08:00:00+00:00,0,0.0,8,0,1,0
2019-01-14 09:00:00+00:00,0,0.0,9,0,1,0
2019-01-14 10:00:00+00:00,0,0.0,10,0,1,0
2019-01-14 11:00:00+00:00,0,0.0,11,0,1,0
2019-01-14 12:00:00+00:00,0,0.0,12,0,1,0
2019-01-14 13:00:00+00:00,0,0.0,13,0,1,0
2019-01-14 14:00:00+00:00,1,4.408,14,0,1,0
2019-01-14 15:00:00+00:00,2,29.676,15,0,1,0
2019-01-14 16:00:00+00:00,10,166.673,16,0,1,0
2019-01-14 17:00:00+00:00,8,63.121,17,0,1,0
2019-01-14 18:00:00+00:00,6,55.919,18,0,1,0
2019-01-14 19:00:00+00:00,0,0.0,19,0,1,0
2019-01-14 20:00:00+00:00,3,47.366,20,0,1,0
