_id,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,siteID,stationID,spaceID,timezone,userInputs
5c427db1f9af8b1e1a53828b,2019-01-02 16:18:56+00:00,2019-01-03 02:17:39+00:00,2019-01-03 02:17:34+00:00,39.007,0002,2-39-79-379,CA-327,America/Los_Angeles,"[{'userID': 232, 'milesRequested': 130, 'WhPerMile': 391, 'minutesAvailable': 520, 'modifiedAt': 'Wed, 02 Jan 2019 16:19:59 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 00:58:56 GMT', 'kWhRequested': 50.83}]"
5c427db1f9af8b1e1a53828c,2019-01-02 16:23:56+00:00,2019-01-03 01:31:57+00:00,2019-01-02 18:52:14+00:00,13.679,0002,2-39-78-366,CA-323,America/Los_Angeles,"[{'userID': 945, 'milesRequested': 50, 'WhPerMile': 600, 'minutesAvailable': 555, 'modifiedAt': 'Wed, 02 Jan 2019 16:24:12 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 01:38:56 GMT', 'kWhRequested': 30.0}]"
5c427db1f9af8b1e1a53828d,2019-01-02 16:27:57+00:00,2019-01-02 22:49:17+00:00,2019-01-02 22:49:13+00:00,39.664,0002,2-39-123-23,CA-313,America/Los_Angeles,"[{'userID': 579, 'milesRequested': 200, 'WhPerMile': 200, 'minutesAvailable': 478, 'modifiedAt': 'Wed, 02 Jan 2019 16:28:58 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 00:25:57 GMT', 'kWhRequested': 40.0}]"
5c427db1f9af8b1e1a53828e,2019-01-02 16:33:50+00:00,2019-01-03 04:44:42+00:00,2019-01-03 00:54:53+00:00,16.007,0002,2-39-79-378,CA-326,America/Los_Angeles,"[{'userID': 676, 'milesRequested': 50, 'WhPerMile': 364, 'minutesAvailable': 528, 'modifiedAt': 'Wed, 02 Jan 2019 16:34:10 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 01:21:50 GMT', 'kWhRequested': 18.2}]"
5c427db1f9af8b1e1a53828f,2019-01-02 16:34:34+00:00,2019-01-03 00:35:04+00:00,2019-01-03 00:34:56+00:00,28.468,0002,2-39-79-376,CA-324,America/Los_Angeles,"[{'userID': 569, 'milesRequested': 200, 'WhPerMile': 300, 'minutesAvailable': 499, 'modifiedAt': 'Wed, 02 Jan 2019 16:34:37 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 00:53:34 GMT', 'kWhRequested': 60.0}]"
5c427db1f9af8b1e1a538290,2019-01-02 16:36:32+00:00,2019-01-03 01:26:45+00:00,2019-01-03 01:26:33+00:00,30.459,0002,2-39-139-567,CA-513,America/Los_Angeles,"[{'userID': 1243, 'milesRequested': 110, 'WhPerMile': 278, 'minutesAvailable': 463, 'modifiedAt': 'Wed, 02 Jan 2019 16:36:48 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 00:19:32 GMT', 'kWhRequested': 30.58}]"
5c427db1f9af8b1e1a538291,2019-01-02 16:37:53+00:00,2019-01-03 01:04:29+00:00,2019-01-03 00:13:01+00:00,8.201,0002,2-39-131-30,CA-305,America/Los_Angeles,"[{'userID': 712, 'milesRequested': 20, 'WhPerMile': 400, 'minutesAvailable': 509, 'modifiedAt': 'Wed, 02 Jan 2019 16:39:41 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 01:06:53 GMT', 'kWhRequested': 8.0}]"
5c427db1f9af8b1e1a538292,2019-01-02 16:39:00+00:00,2019-01-03 01:45:03+00:00,2019-01-02 17:57:10+00:00,3.399,0002,2-39-139-28,CA-303,America/Los_Angeles,"[{'userID': 1481, 'milesRequested': 10, 'WhPerMile': 400, 'minutesAvailable': 255, 'modifiedAt': 'Wed, 02 Jan 2019 16:58:05 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 02 Jan 2019 20:54:00 GMT', 'kWhRequested': 4.0}]"
5c427db1f9af8b1e1a538293,2019-01-02 16:57:20+00:00,2019-01-02 17:44:02+00:00,2019-01-02 17:45:00+00:00,0.861,0002,2-39-91-437,CA-317,America/Los_Angeles,
5c427db1f9af8b1e1a538294,2019-01-02 17:00:19+00:00,2019-01-03 01:09:57+00:00,2019-01-02 19:27:45+00:00,5.787,0002,2-39-130-564,CA-510,America/Los_Angeles,"[{'userID': 620, 'milesRequested': 20, 'WhPerMile': 500, 'minutesAvailable': 485, 'modifiedAt': 'Wed, 02 Jan 2019 17:01:17 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 01:05:19 GMT', 'kWhRequested': 10.0}]"
